nm,発光,nm,励起光,,,,,,,
250.9648929,34.44466017,201,4.133755799,,,,250.9648929,34.44466017,201,4.133755799
250.9648929,34.11039629,202,4.180456984,,,,250.9648929,34.11039629,202,4.180456984
252.6171424,34.44466017,203,4.231468724,,,,252.6171424,34.44466017,203,4.231468724
252.6171424,34.11039629,204,4.455179189,,,,252.6171424,34.11039629,204,4.455179189
254.2693919,34.44466017,205,4.515845473,,,,254.2693919,34.44466017,205,4.515845473
254.2693919,34.11039629,206,4.580454996,,,,254.2693919,34.11039629,206,4.580454996
255.9216414,34.44466017,207,4.645589869,,,,255.9216414,34.44466017,207,4.645589869
255.9216414,34.11039629,208,4.818992887,,,,255.9216414,34.11039629,208,4.818992887
257.5738908,34.44466017,209,4.885467821,,,,257.5738908,34.44466017,209,4.885467821
257.5738908,34.11039629,210,4.932331265,,,,257.5738908,34.11039629,210,4.932331265
259.2261403,34.44466017,211,5.054562381,,,,259.2261403,34.44466017,211,5.054562381
259.2261403,34.11039629,212,5.083291972,,,,259.2261403,34.11039629,212,5.083291972
260.8783898,34.44466017,213,5.104471784,,,,260.8783898,34.44466017,213,5.104471784
260.8783898,34.11039629,214,5.115202991,,,,260.8783898,34.11039629,214,5.115202991
262.5306392,34.44466017,215,5.125803767,,,,262.5306392,34.44466017,215,5.125803767
262.5306392,34.11039629,216,5.124588585,,,,262.5306392,34.11039629,216,5.124588585
264.1828887,34.44466017,217,5.350355232,,,,264.1828887,34.44466017,217,5.350355232
264.1828887,34.11039629,218,5.336905016,,,,264.1828887,34.11039629,218,5.336905016
265.8351382,34.44466017,219,5.318160396,,,,265.8351382,34.44466017,219,5.318160396
265.8351382,34.11039629,220,5.319781388,,,,265.8351382,34.11039629,220,5.319781388
267.4873877,34.44466017,221,5.295912529,,,,267.4873877,34.44466017,221,5.295912529
267.4873877,34.11039629,222,5.267428423,,,,267.4873877,34.11039629,222,5.267428423
269.1396371,34.44466017,223,5.237094953,,,,269.1396371,34.44466017,223,5.237094953
269.1396371,34.11039629,224,5.210611455,,,,269.1396371,34.11039629,224,5.210611455
270.7918866,34.44466017,225,5.185264675,,,,270.7918866,34.44466017,225,5.185264675
270.7918866,34.11039629,226,5.163239033,,,,270.7918866,34.11039629,226,5.163239033
272.4441361,34.44466017,227,5.10807983,,,,272.4441361,34.44466017,227,5.10807983
272.4441361,34.11039629,228,5.096791519,,,,272.4441361,34.11039629,228,5.096791519
274.0963855,34.44466017,229,5.089005734,,,,274.0963855,34.44466017,229,5.089005734
274.0963855,34.11039629,230,4.964363643,,,,274.0963855,34.11039629,230,4.964363643
275.748635,34.44466017,231,4.971970786,,,,275.748635,34.44466017,231,4.971970786
275.748635,34.15217927,232,4.985834899,,,,275.748635,34.15217927,232,4.985834899
277.4008845,34.44466017,233,4.961331521,,,,277.4008845,34.44466017,233,4.961331521
277.4008845,34.19396226,234,4.971177751,,,,277.4008845,34.19396226,234,4.971177751
279.053134,34.44466017,235,4.971380551,,,,279.053134,34.44466017,235,4.971380551
279.053134,34.19396226,236,4.943836977,,,,279.053134,34.19396226,236,4.943836977
280.7053834,34.44466017,237,4.635087076,,,,280.7053834,34.44466017,237,4.635087076
280.7053834,34.19396226,238,4.900890604,,,,280.7053834,34.19396226,238,4.900890604
282.3576329,34.44466017,239,4.890746796,,,,282.3576329,34.44466017,239,4.890746796
282.3576329,34.19396226,240,4.904867919,,,,282.3576329,34.19396226,240,4.904867919
284.0098824,34.44466017,241,4.873879602,,,,284.0098824,34.44466017,241,4.873879602
284.0098824,34.19396226,242,4.835500463,,,,284.0098824,34.19396226,242,4.835500463
285.6621318,34.44466017,243,4.800298166,,,,285.6621318,34.44466017,243,4.800298166
285.6621318,34.19396226,244,4.745797784,,,,285.6621318,34.19396226,244,4.745797784
287.3143813,34.44466017,245,4.68433181,,,,287.3143813,34.44466017,245,4.68433181
287.3143813,34.19396226,246,4.616951715,,,,287.3143813,34.19396226,246,4.616951715
288.9666308,34.44466017,247,4.546905427,,,,288.9666308,34.44466017,247,4.546905427
288.9666308,34.19396226,248,4.471946471,,,,288.9666308,34.19396226,248,4.471946471
290.6188803,34.44466017,249,4.770528427,,,,290.6188803,34.44466017,249,4.770528427
290.6188803,34.19396226,250,4.685075979,,,,290.6188803,34.19396226,250,4.685075979
292.2711297,34.44466017,251,4.598894246,,,,292.2711297,34.44466017,251,4.598894246
292.2711297,34.19396226,252,4.59005818,,,,292.2711297,34.19396226,252,4.59005818
293.9233792,34.44466017,253,4.499184699,,,,293.9233792,34.44466017,253,4.499184699
293.9233792,34.19396226,254,4.414531763,,,,293.9233792,34.19396226,254,4.414531763
295.5756287,34.44466017,255,4.328422086,,,,295.5756287,34.44466017,255,4.328422086
295.5756287,34.19396226,256,4.406145487,,,,295.5756287,34.19396226,256,4.406145487
297.2278781,34.44466017,257,4.319253109,,,,297.2278781,34.44466017,257,4.319253109
297.2278781,34.19396226,258,4.228789385,,,,297.2278781,34.19396226,258,4.228789385
298.8801276,34.52822614,259,4.30643073,,,,298.8801276,34.52822614,259,4.30643073
298.8801276,34.23574525,260,4.217111957,,,,298.8801276,34.23574525,260,4.217111957
