0,1,2
1,1360.4642307802487,-997.5299456201258
2,42.59237025450449,-2317.366688266975
3,125.01290350078432,-2241.200076111475
4,-316.5135018712125,480.21730623584534
5,117.18233686554578,-2250.8084965961953
6,-126.16082859447351,-2042.9499674065273
7,83.80251051592512,-2301.5863493572865
8,-316.2436340783576,-2650.03120214461
9,-744.4351115926684,895.4538491735468
10,-199.60041512737985,-2575.17158581999
11,-289.0792714241772,-2431.927807352853
12,-221.95726149186623,-2502.4012379688097
13,-191.58321226684347,-2524.458265704482
14,-550.1609071862847,-2766.5717841101377
15,-430.6307524333923,-184.85876474241905
16,-337.46863992814826,-2704.5633862425393
17,-290.82739343092453,-2610.095594092944
18,-53.77142451162746,-2398.9667521047877
19,-621.892545465703,-2967.9654387704095
20,-103.74856526016754,-2465.496884494168
21,-242.28325703298324,-2594.139693121453
22,-370.28877798355563,-2703.2681044870446
23,-1038.8538657266138,-3432.181942491606
24,-603.9629963950017,-2953.9843990685836
25,-510.27092584759043,-2840.894205594821
26,-518.504852866035,-2899.0689458357874
27,-284.46552419232194,-2700.7246092782048
28,-616.3329806304853,-2897.3465514718987
29,-495.3944732946591,-2861.754641215523
30,-650.1062406195499,-2129.60291068623
31,-593.5782540373334,-2890.5227806812713
32,-1001.4751172934957,-3317.9971830312406
33,-1025.252341082928,-3305.581058954563
34,-1120.3228358712995,-3496.234942462397
35,-947.4183331784152,-3305.752453042345
36,-992.7277959654648,-3345.8506750641204
37,-1301.2099059698728,-3659.9080449393655
38,-1181.1787670193548,-3513.3678501876393
39,-1063.0719588994962,-3342.962219519768
40,-895.5025832630859,-2354.9266797078662
41,-931.7856396775492,-1322.3691000561519
42,-515.6897058711388,-2832.3153311852348
43,-434.9964458073255,-2826.3128750252936
44,-313.6882969464678,-2436.367159780112
45,-634.7150466915593,-2981.6990799438327
46,-595.5771104129705,-2398.980359449579
47,-672.1820476957962,-2460.783980155615
48,-495.11917391844685,-2857.901753661974
49,-697.6350090496614,-3044.2806947211175
50,-738.0012738476232,-3112.8048165223286
51,-1061.7169383481796,-2977.0953794711327
52,-669.1440056330972,-955.0458838946427
53,-348.6965218005526,-2677.163885713324
54,-477.57202697572126,-2850.961665922112
55,-1155.0757799039316,-3524.7130879592814
56,-500.69812890797965,-1115.9813524941349
57,-1310.548095849326,-3634.108546453158
