nm,発光,nm,励起光
202,35.3504795,201,4.133755799
202.5,35.2981585,202,4.180456984
203,35.24514687,203,4.231468724
203.5,35.23187372,204,4.455179189
204,35.23358479,205,4.515845473
204.5,35.19322684,206,4.580454996
205,35.13273632,207,4.645589869
205.5,35.08629479,208,4.818992887
206,35.07424822,209,4.885467821
206.5,35.08370377,210,4.932331265
207,35.08730617,211,5.054562381
207.5,35.05907566,212,5.083291972
208,35.00382319,213,5.104471784
208.5,34.94909987,214,5.115202991
209,34.92228258,215,5.125803767
209.5,34.92661418,216,5.124588585
210,34.93575702,217,5.350355232
210.5,34.92239645,218,5.336905016
211,34.87494489,219,5.318160396
211.5,34.81460628,220,5.319781388
212,34.7757201,221,5.295912529
212.5,34.77786946,222,5.267428423
213,34.76403229,223,5.237094953
213.5,34.71028495,224,5.210611455
214,34.6524425,225,5.185264675
214.5,34.61932161,226,5.163239033
215,34.61961026,227,5.10807983
215.5,34.62985809,228,5.096791519
216,34.62272186,229,5.089005734
216.5,34.58053089,230,4.964363643
217,34.52040948,231,4.971970786
217.5,34.47442803,232,4.985834899
218,34.47144754,233,4.961331521
218.5,34.46542408,234,4.971177751
219,34.41669252,235,4.971380551
219.5,34.3570609,236,4.943836977
220,34.31752476,237,4.635087076
220.5,34.31287028,238,4.900890604
221,34.32350234,239,4.890746796
221.5,34.32167036,240,4.904867919
222,34.28475051,241,4.873879602
222.5,34.22753956,242,4.835500463
223,34.1774086,243,4.800298166
223.5,34.15641258,244,4.745797784
224,34.16734872,245,4.68433181
224.5,34.18369184,246,4.616951715
225,34.1262123,247,4.546905427
225.5,34.0226993,248,4.471946471
226,34.00248039,249,4.770528427
226.5,34.01216311,250,4.685075979
227,33.96686255,251,4.598894246
227.5,33.86362177,252,4.59005818
228,33.78260885,253,4.499184699
228.5,33.78993297,254,4.414531763
229,33.75228585,255,4.328422086
229.5,33.6443905,256,4.406145487
230,33.58087885,257,4.319253109
230.5,33.54537147,258,4.228789385
231,33.49707582,259,4.30643073
231.5,33.44432042,260,4.217111957
232,33.40075241,261,4.126152501
232.5,33.3630791,262,4.201277104
233,33.2776605,263,3.942182881
233.5,33.1804503,264,4.019928682
234,33.17619037,265,4.078597496
234.5,33.1581851,266,3.985498144
235,33.0537602,267,3.896304705
235.5,32.97844025,268,3.807804252
236,32.9426978,269,3.803875475
236.5,32.89674716,270,3.719741436
237,32.84377731,271,3.641449939
237.5,32.79746082,272,3.579355593
238,32.76188068,273,3.510097663
238.5,32.68827102,274,3.449562047
239,32.58300714,275,3.372355384
239.5,32.56245293,276,3.323868978
240,32.56014487,277,3.278500707
240.5,32.46445842,278,3.158538692
241,32.37760859,279,3.127806909
241.5,32.33937986,280,3.100987782
242,32.29535705,281,2.940615558
242.5,32.24458793,282,2.922880577
243,32.19724365,283,2.907804782
243.5,32.14952319,284,2.891507486
244,32.10216746,285,2.737902996
244.5,32.05592392,286,2.713620007
245,32.00244638,287,2.713620007
245.5,31.95683618,288,2.580906893
246,31.94893245,289,2.581243643
246.5,31.95577961,290,2.587341222
247,31.95501964,291,2.481764105
247.5,31.95392177,292,2.486781887
248,31.95446794,293,2.501135159
248.5,31.95460356,294,2.508814148
249,31.95407258,295,2.393414321
249.5,31.9542737,296,2.39921589
250,31.95613437,297,2.402785412
250.5,31.95188383,298,2.334213862
251,31.94960489,299,2.333495208
251.5,31.98247991,300,2.330792559
252,32.03718529,301,2.327881851
252.5,32.08521293,302,2.322720705
253,32.13163989,303,2.316430093
253.5,32.17969268,304,2.169957249
254,32.22668002,305,2.16187704
254.5,32.27632238,306,2.153896611
255,32.32505156,307,2.143279986
255.5,32.36047673,308,2.132933766
256,32.42457994,309,2.121021993
256.5,32.53403055,310,2.107940795
257,32.56485329,311,2.09615275
257.5,32.56083407,312,2.081620746
258,32.68577942,313,2.068131446
258.5,32.83613935,314,1.912323835
259,32.92503147,315,1.89975772
259.5,33.01257146,316,1.885345724
260,33.11259001,317,1.844222801
260.5,33.20988831,318,1.83067278
261,33.29689435,319,1.818713915
261.5,33.3965889,320,1.778735569
262,33.53987302,321,1.765371409
262.5,33.67238746,322,1.751038871
263,33.76349295,323,1.71202396
263.5,33.85266314,324,1.69746976
264,33.95291001,325,1.684235354
264.5,34.05297407,326,1.670614081
265,34.12393334,327,1.634567358
265.5,34.16451491,328,1.622198119
266,34.20220971,329,1.608318575
266.5,34.27375057,330,1.573626177
267,34.37396955,331,1.561456325
267.5,34.44087259,332,1.549433464
268,34.47610274,333,1.517063007
268.5,34.51714321,334,1.505536055
269,34.60092081,335,1.493555294
269.5,34.69727512,336,1.462996947
270,34.74571064,337,1.452305438
270.5,34.80366269,338,1.441528073
271,34.90423956,339,1.431398832
271.5,35.00361094,340,1.401692933
272,35.09749095,341,1.391388431
272.5,35.19454002,342,1.381128763
273,35.28254576,343,1.354088328
273.5,35.38292775,344,1.344460197
274,35.52704339,345,1.335463942
274.5,35.65800289,346,1.310271932
275,35.74837211,347,1.301968645
275.5,35.84007614,348,1.293224168
276,35.93714735,349,1.269761839
276.5,36.03135,350,1.260928993
277,36.13257691,351,1.251357743
277.5,36.22390725,352,1.235218148
278,36.27726557,353,1.227200408
278.5,36.31785132,354,1.219026706
279,36.36657636,355,1.210661233
279.5,36.41838427,356,1.197488495
280,36.46048438,357,1.185620124
280.5,36.50056364,358,1.175170245
281,36.59256552,359,1.167515336
281.5,36.68242533,360,1.157580307
282,36.67913815,361,1.148305865
282.5,36.70838301,362,1.129895817
283,36.81562984,363,1.12073252
283.5,36.88355263,364,1.112083908
284,36.91924559,365,1.091315614
284.5,36.96716852,366,1.083371226
285,37.01736044,367,1.076140536
285.5,37.06412995,368,1.070288832
286,37.11090573,369,1.049198569
286.5,37.16110599,370,1.049198569
287,37.20899689,371,1.046712894
287.5,37.24470394,372,1.025895279
288,37.31278653,373,1.025200336
288.5,37.4199486,374,1.025499359
289,37.44908952,375,1.006288208
289.5,37.44581093,376,1.007671031
290,37.53514151,377,1.009583999
290.5,37.62918494,378,0.98920226
291,37.66929437,379,0.991706683
291.5,37.69996315,380,0.995038183
292,37.77183,381,0.974839838
292.5,37.87871226,382,0.977183165
293,37.90630578,383,0.979165545
293.5,37.90378314,384,0.980869784
294,37.99383939,385,0.956741583
294.5,38.08733365,386,0.957675301
295,38.12712714,387,0.958902789
295.5,38.1579401,388,0.932603611
296,38.23041939,389,0.933383601
296.5,38.33713285,390,0.9338654
297,38.36357059,391,0.90940049
297.5,38.36178893,392,0.909974841
298,38.45325793,393,0.910077195
298.5,38.54395068,394,0.884671621
299,38.58351557,395,0.88439849
299.5,38.62607005,396,0.883604449
300,38.67774192,397,0.882790128
300.5,38.7261237,398,0.862604427
301,38.76787495,399,0.861930908
301.5,38.82079345,400,0.861100626
302,38.90839499,401,0.828965416
302.5,39.02347078,402,0.828146918
303,39.11647202,403,0.826597682
303.5,39.12177707,404,0.807579575
304,39.13573487,405,0.808270353
304.5,39.23560459,406,0.807578405
305,39.33923014,407,0.787919489
305.5,39.4332656,408,0.786917556
306,39.53933293,409,0.787014665
306.5,39.59551432,410,0.771148381
307,39.58475454,411,0.77049928
307.5,39.56350903,412,0.76904637
308,39.59851389,413,0.767931463
308.5,39.7004901,414,0.754737507
309,39.77540387,415,0.753817157
309.5,39.81147207,416,0.752964123
310,39.85301149,417,0.741066986
310.5,39.92167132,418,0.740306973
311,40.02234717,419,0.739147927
311.5,40.13776354,420,0.728500299
312,40.19586002,421,0.72801194
312.5,40.18568391,422,0.727078691
313,40.23681876,423,0.725082322
313.5,40.35126453,424,0.714095777
314,40.45420805,425,0.71325879
314.5,40.52423771,426,0.712453017
315,40.56737478,427,0.700947137
315.5,40.607341,428,0.700351689
316,40.66862492,429,0.699441832
316.5,40.76397525,430,0.688560311
317,40.88052758,431,0.689479431
317.5,40.95573046,432,0.688568559
318,40.94937693,433,0.680149337
318.5,40.98248121,434,0.67972558
319,41.09186078,435,0.678936709
